user_id,inquiry_time,category,content,is_price_complaint
tb_6657867,2023-01-11 15:32:02,发货时效,内蒙古三天内能到吗？,False
tb_3964345,2023-01-14 16:28:37,色号推荐,我说嘴唇发紫涂梅子酒会变色吗阿,False
tb_9920200,2023-01-14 17:42:51,色号推荐,麻烦问下，纠结死我了，Cherry和胡萝卜色，黄皮怎么选呀,False
tb_2790088,2023-01-11 03:26:31,赠品活动,客官，搞 2 支 是送 2 个 化妆棉 吗吗,False
tb_5878984,2023-01-14 01:11:41,色号推荐,在么嘴唇发紫求种草，Ruby会不会涂不匀呢,False
tb_5932197,2023-01-10 06:30:36,订单修改,我就问下，我想换个色吗,False
tb_3263221,2023-01-08 01:33:53,赠品活动,我就问下，化妆镜是不是随机发颜色的？？,False
tb_9555405,2023-01-08 22:22:33,订单修改,Cherry能换成砖红吗,False
tb_5721605,2023-01-11 05:03:36,活动咨询,那个，什么时候有大促不,False
tb_2580218,2023-01-08 17:34:33,发货时效,大促期间发货会慢吗？,False
tb_2137762,2023-01-12 03:35:04,物流进度,怎么还没到内蒙古啊？😤,False
tb_4370546,2023-01-12 21:32:03,退款售后,👊在哪里申请退款？,False
tb_4486059,2023-01-11 06:22:36,价格异常,这个价格怎么算出来的？🙄,True
tb_6592315,2023-01-15 13:59:03,发货时效,您好，发到北京大概要什么时候？？,False
tb_5734952,2023-01-15 11:48:50,价格咨询,亲，支持价保吗，降价了能退我差价吗？,True
tb_3639445,2023-01-07 11:40:12,持久与沾杯,喝水沾杯严重吗？,False
tb_1802185,2023-01-13 13:04:55,色号推荐,你好，上班涂什么颜色比较好，不要太夸张呢,False
tb_9020436,2023-01-14 07:29:49,发货时效,佛山多久能发？,False
tb_9029727,2023-01-08 07:41:20,质量问题,这个味道很难闻，像塑料味🙄,False
tb_1574680,2023-01-08 15:01:23,赠品活动,在么小红书说送小镜子，这里送吗呢,False
tb_1695298,2023-01-13 02:59:19,优惠规则,我就问下，拍下两个不同色号可以用这张券吗呀,False
tb_4544929,2023-01-14 13:36:18,物流进度,在么帮我核实一下包裹，太慢了！,False
